2022-04-23 10:00:24,756 | INFO | 
2022-04-23 10:00:24,756 | INFO | >>> TAKE PROFIT
2022-04-23 10:00:24,756 | ERROR | Invalid day, exiting...
2022-04-23 10:00:29,337 | INFO | Email sent
2022-04-23 16:45:23,054 | INFO | 
2022-04-23 16:45:23,054 | INFO | >>> CLOSE POSITIONS
2022-04-23 16:45:23,054 | ERROR | Invalid day, exiting...
2022-04-23 16:45:27,794 | INFO | Email sent
2022-04-23 16:53:32,548 | INFO | 
2022-04-23 16:53:32,549 | INFO | >>> BUY STOCKS
2022-04-23 16:53:32,549 | ERROR | Invalid day, exiting...
2022-04-23 16:53:36,419 | INFO | Email sent
